contract_id,bank,ano_mes,product_id,location_id,units,financed_amount,outstanding_balance,dpd,delinquent_amount_30p,risk_score
C202501-BA-000001,Banco Shield,202501,1013.0,509,1,24668.11,19184.31,0,0.0,0.0842
C202501-BA-000002,Banco Shield,202501,1008.0,508,1,15908.45,16095.09,0,0.0,0.1144
C202501-BA-000003,Banco Shield,202501,1009.0,508,1,0.0,0.0,0,0.0,0.0864
C202501-BA-000004,Banco Shield,202501,1003.0,501,1,13372.75,9564.6,0,0.0,0.0886
C202501-BA-000005,Banco Shield,202501,1009.0,515,1,0.0,0.0,0,0.0,0.0756
C202501-BA-000006,Banco Shield,202501,1004.0,514,1,0.0,0.0,0,0.0,0.0511
C202501-BA-000007,Banco Shield,202501,1019.0,506,1,5512.85,3849.61,0,0.0,0.1321
C202501-BA-000008,Banco Shield,202501,1020.0,514,1,30785.01,22240.92,0,0.0,0.1083
C202501-BA-000009,Banco Shield,202501,1020.0,513,1,2474.09,2534.23,0,0.0,0.0936
C202501-BA-000010,Banco Shield,202501,1009.0,504,1,0.0,0.0,0,0.0,0.1016
C202501-BA-000011,Banco Shield,202501,1017.0,508,1,828.66,835.89,0,0.0,0.0811
C202501-BA-000012,Banco Shield,202501,1019.0,514,1,4939.25,4656.37,0,0.0,0.0488
C202501-BA-000013,Banco Shield,202501,1017.0,515,1,761.56,730.53,0,0.0,0.1232
C202501-BA-000014,Banco Shield,202501,1009.0,512,1,0.0,0.0,0,0.0,0.0713
C202501-BA-000015,Banco Shield,202501,1019.0,504,1,3140.97,2078.96,0,0.0,0.1205
C202501-BA-000016,Banco Shield,202501,1018.0,507,1,8276.56,6890.12,10,0.0,0.1178
C202501-BA-000017,Banco Shield,202501,1017.0,502,1,1080.14,1059.61,0,0.0,0.0966
C202501-BA-000018,Banco Shield,202501,1020.0,508,1,46278.17,41698.7,0,0.0,0.0873
C202501-BA-000019,Banco Shield,202501,1003.0,514,1,7861.4,5339.2,10,0.0,0.053
C202501-BA-000020,Banco Shield,202501,1004.0,501,1,0.0,0.0,0,0.0,0.0861
C202501-BA-000021,Banco Shield,202501,1016.0,512,1,21548.05,17648.58,5,0.0,0.0733
C202501-BA-000022,Banco Shield,202501,1008.0,511,1,3867.22,2720.91,0,0.0,0.0527
C202501-BA-000023,Banco Shield,202501,1016.0,503,1,18215.36,14781.31,90,6826.37,0.0861
C202501-BA-000024,Banco Shield,202501,1006.0,503,1,6060.73,4470.17,0,0.0,0.0211
C202501-BA-000025,Banco Shield,202501,1001.0,503,1,0.0,0.0,0,0.0,0.0421
C202501-BA-000026,Banco Shield,202501,1015.0,506,1,2715.03,1795.94,0,0.0,0.0827
C202501-BA-000027,Banco Shield,202501,1016.0,507,1,15801.51,13116.9,0,0.0,0.0829
C202501-BA-000028,Banco Shield,202501,1004.0,513,1,0.0,0.0,0,0.0,0.0756
C202501-BA-000029,Banco Shield,202501,1019.0,509,1,5262.21,4429.13,0,0.0,0.1087
C202501-BA-000030,Banco Shield,202501,1005.0,501,1,28369.25,19503.04,0,0.0,0.1143
C202501-BA-000031,Banco Shield,202501,1015.0,503,1,7386.01,7074.57,0,0.0,0.1008
C202501-BA-000032,Banco Shield,202501,1019.0,512,1,3499.29,3183.74,0,0.0,0.0957
C202501-BA-000033,Banco Shield,202501,1001.0,510,1,0.0,0.0,0,0.0,0.1006
C202501-BA-000034,Banco Shield,202501,1001.0,513,1,0.0,0.0,0,0.0,0.1347
C202501-BA-000035,Banco Shield,202501,1005.0,506,1,40436.79,32877.63,0,0.0,0.1309
C202501-BA-000036,Banco Shield,202501,1001.0,514,1,0.0,0.0,0,0.0,0.0487
C202501-BA-000037,Banco Shield,202501,1019.0,510,1,10577.31,10840.82,0,0.0,0.0748
C202501-BA-000038,Banco Shield,202501,1020.0,508,1,44176.54,42819.78,10,0.0,0.1483
C202501-BA-000039,Banco Shield,202501,1012.0,503,1,0.0,0.0,0,0.0,0.1042
C202501-BA-000040,Banco Shield,202501,1019.0,502,1,4148.74,4009.8,0,0.0,0.0962
C202501-BA-000041,Banco Shield,202501,1009.0,507,1,0.0,0.0,0,0.0,0.0803
