contract_id_original,field,old_value,new_value,reason
C202501-BA-000243,contract_id,C202501-BA-000243,C202501-BA-000261,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202502-BA-000652,contract_id,C202502-BA-000652,C202502-BA-000761,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202503-BA-001249,contract_id,C202503-BA-001249,C202503-BA-001261,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202504-BA-001682,contract_id,C202504-BA-001682,C202504-BA-001761,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202504-BA-001709,contract_id,C202504-BA-001709,C202504-BA-001762,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202505-HI-002319,contract_id,C202505-HI-002319,C202505-HI-002501,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202505-HI-002495,contract_id,C202505-HI-002495,C202505-HI-002502,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202506-BA-002586,contract_id,C202506-BA-002586,C202506-BA-002761,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202506-BA-002708,contract_id,C202506-BA-002708,C202506-BA-002762,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202506-HI-002977,contract_id,C202506-HI-002977,C202506-HI-003001,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202507-HI-003456,contract_id,C202507-HI-003456,C202507-HI-003501,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202508-BA-003688,contract_id,C202508-BA-003688,C202508-BA-003761,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202509-HI-004487,contract_id,C202509-HI-004487,C202509-HI-004501,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202510-BA-004629,contract_id,C202510-BA-004629,C202510-BA-004761,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202510-HI-004912,contract_id,C202510-HI-004912,C202510-HI-005001,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
C202512-BA-005581,contract_id,C202512-BA-005581,C202512-BA-005761,"Deduplicação: mantida 1ª ocorrência; duplicata recebeu novo contract_id seguindo regra C+ano_mes+-(BA/HI)+-sequencial(6d) com base no último+1 por (ano_mes, bank)."
